Player,Position,Games,Win rate,KDA,CSM,GPM,KP%,DMG%,DPM,GD@15,FB %
Smoothie,SUPPORT,64,54.7%,3.4,1.3,234,68.9%,7.4,134,-156,26.6%
Szygenda,TOP,64,59.4%,3.5,8.1,388,58.2%,23.4,443,70,14.1%
Venzer,ADC,64,59.4%,4.7,8.8,424,74.0%,27.1,529,-81,29.7%
Zven,ADC,64,54.7%,4.4,9.2,426,68.4%,29.5,556,62,21.9%
Aix,JUNGLE,63,31.7%,2.7,4.8,309,69.4%,13.1,224,-,-
Goku,MID,63,76.2%,4.1,8.2,392,59.3%,24.2,446,10,23.8%
Pyrka,SUPPORT,63,36.5%,2.8,1.4,253,66.0%,10.6,169,-65,17.5%
Robo,TOP,63,76.2%,3.2,7.9,393,55.9%,22.9,426,125,25.4%
Shrimp,JUNGLE,63,76.2%,4.4,5.9,375,73.8%,16.8,317,474,50.8%
Kellin,SUPPORT,62,9.7%,1.7,1.3,224,61.8%,8.9,133,-221,19.4%
Sebekx,MID,62,51.6%,3.6,8.7,404,62.1%,26.6,481,205,4.8%
Senan,SUPPORT,62,50%,2.2,1.3,234,58.4%,7.7,121,-101,17.7%
brTT,ADC,62,77.4%,5.9,9.6,455,65.3%,25.8,482,506,35.5%
Aomine,ADC,61,39.3%,3.8,9.7,431,59.6%,24.5,432,-320,26.2%
Baula,SUPPORT,61,55.7%,3.9,1.8,266,66.3%,7.6,131,31,19.7%
Deadly,ADC,61,68.9%,5,9.8,465,71.6%,29.1,515,404,21.3%
Kirei,JUNGLE,61,67.2%,3.4,5.2,358,69.3%,20.7,425,146,45.9%
Milica,MID,61,68.9%,4.8,9,424,63.4%,28.1,495,458,13.1%
Razork,JUNGLE,61,68.9%,3.8,5,335,68.4%,15.2,274,-14,31.1%
Th3Antonio,TOP,61,68.9%,3.1,7.5,371,55.5%,19.9,350,-68,13.1%
Yuuki,MID,61,32.8%,2.6,8.4,380,65.9%,26.2,455,-,0%
Armut,TOP,60,71.7%,3.7,8.1,408,58.6%,23.7,430,587,23.3%
Changhong,TOP,60,46.7%,2.4,7.5,369,59.4%,22.5,380,-,0%
Closer,JUNGLE,60,71.7%,4.5,4.7,335,71.0%,14.2,260,191,45%
Luci,SUPPORT,60,78.3%,4.1,1.4,271,68.4%,10.3,192,213,35%
Pilot,ADC,60,71.7%,6.1,9.8,451,67.9%,28.2,525,107,26.7%
Tay,TOP,60,56.7%,3.7,7.8,388,58.6%,21.4,367,68,25%
Zin,ADC,60,51.7%,4.4,8.8,417,54.4%,21.9,433,-337,15%
itzRenifer,ADC,60,33.3%,3.6,8.9,403,64.4%,28.8,503,-154,13.3%
Evi,TOP,59,81.4%,4.6,7.8,400,61.6%,25.8,485,198,20.3%
Gadget,ADC,59,64.4%,4.1,8.8,429,63.1%,26.4,484,338,20.3%
Gaeng,SUPPORT,59,81.4%,8,1.5,282,76.8%,9.1,174,307,32.2%
HuaTian,MID,59,32.2%,2.1,8.8,389,62.0%,24.5,432,-,0%
Leaky,TOP,59,32.2%,2,8,370,56.6%,24.4,404,-8,13.6%
SaNTaS,SUPPORT,59,64.4%,4.3,1.7,275,63.5%,9.0,170,149,18.6%
Steal,JUNGLE,59,81.4%,4.6,5.3,338,70.1%,13.2,251,-73,40.7%
Yutapon,ADC,59,81.4%,7.3,9.4,461,69.2%,27.9,539,527,27.1%
Zeyzal,SUPPORT,59,59.3%,3.9,1.6,261,67.3%,9.6,191,-77,18.6%
Ben4,JUNGLE,58,36.2%,2.7,4.9,331,68.4%,15.9,279,-,0%
Hani,TOP,58,53.4%,2.7,7.3,357,49.7%,18.1,313,-570,24.1%
Lies,TOP,58,39.7%,2.5,7.7,368,55.5%,23.1,401,-,0%
Nisqy,MID,58,60.3%,4,7.9,393,68.9%,23.7,465,59,22.4%
SkuLL,SUPPORT,58,32.8%,2.6,1.6,248,69.5%,9.4,155,-36,31%
bucu,MID,58,46.6%,2.5,8.2,380,56.2%,24.8,457,-175,25.9%
Acce,TOP,57,54.4%,3,8,373,51.0%,19.2,334,-172,10.5%
Babip,JUNGLE,57,63.2%,4.4,5,334,70.9%,12.0,216,143,28.1%
Destiny,SUPPORT,57,63.2%,6.3,1.5,267,73.3%,9.1,168,99,22.8%
Leza,MID,57,54.4%,3.4,9.3,421,63.0%,27.9,490,251,12.3%
Licorice,TOP,57,57.9%,3.1,8.2,392,56.4%,22.0,428,-37,12.3%
Smeb,TOP,57,31.6%,2.2,8.4,377,55.0%,24.5,389,-210,14%
Triple,MID,57,63.2%,4.2,8.9,413,67.0%,29.0,519,243,14%
k1ng,ADC,57,63.2%,5,9.7,460,67.1%,28.4,516,25,22.8%
Blaber,JUNGLE,56,66.1%,3.9,5.5,367,76.4%,18.4,384,392,46.4%
Candy,MID,56,48.2%,3.2,8.3,383,62.0%,26.3,436,-147,19.6%
Soligo,MID,56,53.6%,3.4,8.1,388,64.9%,26.3,512,-151,12.5%
Tolerant,SUPPORT,56,62.5%,3.2,1.3,256,63.7%,8.8,159,89,32.1%
Wiggily,JUNGLE,56,53.6%,2.9,4.9,318,68.8%,12.3,220,-57,42.9%
Alphari,TOP,55,49.1%,2.9,8.2,386,53.9%,24.4,419,187,18.2%
BalKhan,JUNGLE,55,69.1%,3.2,5.4,360,66.1%,15.2,313,325,36.4%
CaiPi,MID,55,34.5%,2.5,7.9,354,59.9%,23.6,401,-30,14.5%
Mimic,TOP,55,70.9%,4.3,7.6,398,52.2%,22.1,443,496,23.6%
Mithy,SUPPORT,55,49.1%,2.7,1.7,253,64.5%,8.5,146,57,29.1%
Nobody,ADC,55,52.7%,3.7,9.6,439,69.7%,31.5,554,-284,25.5%
Nukeduck,MID,55,49.1%,3.4,9,404,56.7%,24.9,429,33,14.5%
Patrik,ADC,55,49.1%,3.9,9.1,430,68.8%,29.3,499,-74,27.3%
Rogue,SUPPORT,55,70.9%,4.2,1.4,262,65.5%,7.8,155,87,18.2%
Ryoma,MID,55,70.9%,4.7,8.9,424,60.9%,25.8,514,138,20%
Selfie,MID,55,60%,3.6,9.5,434,61.5%,29.5,593,69,12.7%
Sneaky,ADC,55,60%,4.2,8.7,425,65.9%,29.0,588,-231,12.7%
Stixxay,ADC,55,54.5%,4,9.4,421,61.4%,26.1,473,-141,14.5%
Stunt,SUPPORT,55,58.2%,2.8,1.7,264,72.1%,9.3,193,-90,14.5%
Xiaoemo,ADC,55,32.7%,3.5,9.9,438,67.7%,27.1,473,251,29.1%
bluerzor,JUNGLE,55,56.4%,3.6,4.9,331,68.6%,13.8,269,100,41.8%
Deftly,ADC,54,53.7%,5.4,9.2,431,65.9%,26.8,556,305,22.2%
Newbie,SUPPORT,54,66.7%,5,1.6,262,70.3%,8.2,152,-3,24.1%
Parang,TOP,54,66.7%,3.4,8.5,414,60.9%,26.9,510,649,27.8%
Plugo,MID,54,66.7%,3.3,8,375,55.7%,24.9,462,-30,13%
PrettyGRE,MID,54,61.1%,5.1,8.4,394,64.2%,26.6,489,22,27.8%
Yado,MID,54,27.8%,2.6,8.7,396,61.9%,31.0,580,-279,16.7%
Biofrost,SUPPORT,53,50.9%,3.7,1.5,251,67.3%,8.6,147,37,18.9%
Cotopaco,MID,53,60.4%,3.3,8.1,380,61.2%,27.4,501,12,20.8%
HeaQ,ADC,53,47.2%,3.8,8.9,414,63.1%,26.1,470,-200,17%
Javaaa,ADC,53,50.9%,4.1,8.8,424,70.5%,27.9,504,-96,20.8%
Jejky,JUNGLE,53,66%,3.2,5.4,354,66.1%,15.6,297,444,45.3%
KEITH,ADC,53,73.6%,5.1,8.9,441,64.8%,28.0,566,526,20.8%
Lourlo,TOP,53,43.4%,4,8.1,377,56.7%,21.4,390,-232,18.9%
Panda,JUNGLE,53,43.4%,2.1,4.7,306,65.2%,12.9,234,-75,47.2%
PowerOfEvil,MID,53,50.9%,3.7,9.1,405,68.7%,30.0,508,-54,28.3%
Prismal,ADC,53,62.3%,4.1,8.9,424,70.4%,27.2,575,-553,15.1%
SolidSnake,JUNGLE,53,60.4%,4.2,5.3,339,68.8%,14.0,258,75,35.8%
Svenskeren,JUNGLE,53,62.3%,3.3,5,337,72.2%,15.2,306,208,34%
Vasked,SUPPORT,53,66%,3.1,1.4,252,66.1%,8.3,158,-81,26.4%
Acidy,TOP,52,69.2%,3.4,7,363,50.0%,20.0,421,32,9.6%
EasyLove,ADC,52,32.7%,2.6,9.6,423,54.5%,24.3,451,-59,15.4%
Effort,SUPPORT,52,76.9%,4.2,1.6,263,62.6%,6.9,123,-57,23.1%
Gemini,JUNGLE,52,46.2%,2.8,4.8,314,66.8%,14.5,249,-205,50%
Mystiques,SUPPORT,52,59.6%,3.2,1.3,264,67.2%,8.4,149,163,23.1%
Rawbin IV,JUNGLE,52,69.2%,4.5,5.3,371,73.7%,19.1,414,309,42.3%
Renyu,ADC,52,61.5%,4.7,9.4,441,69.3%,29.7,553,164,19.2%
Victory,MID,52,34.6%,2,8.5,388,63.8%,27.0,478,-319,17.3%
Abbedagge,MID,51,51%,3.3,8.8,402,60.1%,26.3,473,-235,15.7%
Ceos,SUPPORT,51,60.8%,4.2,1.5,254,73.5%,9.1,174,-50,31.4%
Comp,ADC,51,76.5%,7.1,9.9,479,64.2%,28.1,570,408,33.3%
Djoko,JUNGLE,51,76.5%,4.5,4.7,330,68.9%,14.4,289,309,45.1%
Eika,MID,51,76.5%,5.3,8.7,432,60.1%,25.8,528,524,27.5%
